Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
231004;CD00;;SECCION INFERIOR POSTE SUM-14 20m-S1 40,;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231005;CD00;;SECCION INFERIOR POSTE SUM-01 65pies-S1;3/5/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;29,684;COP;1;AE79461
231006;CD00;;SECCION INFERIOR POSTE SUM-09 20m-S1 31.;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;18,838;COP;1;AE79461
231007;CD00;;SECCION INFERIOR POSTE SUM-04 65pies-S1;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;78,703;COP;1;AE79461
231008;CD00;;SECCION INFERIOR SUBPOSTE SUM-13 12m-SP2;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;732,196;COP;1;AE79461
231009;CD00;;SECCION INFERIOR SUBPOSTE SUM-18 13.5m-S;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231010;CD00;;SECCION MEDIA POSTE SUM-02 75pies-S1 26.;20/6/2022;ZAT;FESO3200;C/U;;;ND;MD04;S;1;COP;1;AE79461
231011;CD00;;SECCION MEDIA POSTE SUM-04 65pies-S1 21.;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;109,920;COP;1;AE79461
231012;CD00;;SECCION MEDIA POSTE SUM-09 20m-S1 26.7cm;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;62,769;COP;1;AE79461
231013;CD00;;SECCION SUPERIOR POSTE SUM-01 65pies-S1;30/4/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;554,094;COP;1;AE79461
231014;CD00;;SECCION SUPERIOR POSTE SUM-05 65pies-R1;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;94,444;COP;1;AE79461
231015;CD00;;SECCION SUPERIOR POSTE SUM-09 20m-S1 21;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;18,830;COP;1;AE79461
231016;CD00;;SECCION SUPERIOR POSTE SUM-14 20m-S1 26.;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231017;CD00;;SECCIÓN SUP POSTE SUM15 25M S1 26.7cm;29/11/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;0;COP;1;AE79461
231018;CD00;;SECCIÓN SUPERIOR SUM16 30M S2 31.8cm;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;237,468;COP;1;AE79461
231019;CD00;;SECCION SUPERIOR SUBPOSTE SUM-13 12m-SP2;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;197,890;COP;1;AE79461
231020;CD00;;SECCION SUPERIOR SUBPOSTE SUM-18 13.5m-S;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231021;CD00;;SUBPOSTE PJE-03 12MSP2 22.8/73.7CM;11/8/2022;ZAT;FESO2603;C/U;;;ND;MD04;S;1;COP;1;AE79461
